listingId,realtyNo,realtyId,advertiseOwnerName,mainCategoryName,categories,subCategoryName,mainCategoryId,categoryId,cityId,cityName,countyId,countyName,areaName,areaId,districtId,districtName,title,age,roomAndLivingRoom,sqm,floorName,floorId,bathRoom,livingRoom,room,floorCount,mapLatLon,detailUrl,breadcrumbs4Url,breadcrumbs3Url,imageUrl,images,imageCount,description,createdDate,updatedDate,startDate,endDate,realtyPrice,realtyPriceCurrencyCode,realtyPriceTl,realtyPriceCurrencyId,showPrice,firmUserId,firmUserFirstName,firmUserLastName,firmUserPhoto,firmId,firmLogo,firmUserFullName,productCount,featuringProduct,superRealty,firmSummaryPackageCategoryTypeId,buildStateId,buildStateName,furnished,sideName,fuelName,heatingName,heatingId,amount,currencycode,creditName,productIds
SAMPLE-000001,35517,10000000,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,21,Diyarbakır,1441,İlçe_1441,Bölge_99,"754,214,125",150277,Mahalle_150277,SATILIK DÜKKAN & MAĞAZA,,2+1,299.0,6. Kat,101207.0,0,0,2,10.0,"41.4125,42.1326",https://example.com/sample-listing/000001,https://example.com/sample-location/00000,https://example.com/sample-location/00000,https://example.com/sample-image/000001.jpg,https://example.com/sample-image/000001.jpg,22,Merkezi konumda satılık ticari gayrimenkul.,2025-07-21T07:57:00.000Z,2025-07-28T07:57:00.000Z,2025-07-30T07:57:00.000Z,2025-10-30T07:57:00.000Z,13830000,TL,13830000,1,false,5921,Örnek Emlak 1,Property,,2842,https://example.com/sample-logo/00000.png,Ahmet Yılmaz,0.0,False,false,159628.0,101606.0,İkinci El,False,,,Merkezi,101301.0,0.0,,Uygun,
SAMPLE-000002,32443,10000001,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,61,Trabzon,1880,İlçe_1880,Bölge_407,"859,381,350",121433,Mahalle_121433,SATILIK DÜKKAN & MAĞAZA,20.0,3+1,70.0,10. Kat,101211.0,0,1,3,5.0,"37.8344,26.633",https://example.com/sample-listing/000002,https://example.com/sample-location/00001,https://example.com/sample-location/00001,https://example.com/sample-image/000002.jpg,https://example.com/sample-image/000002.jpg,1,Detaylar için ilan sahibi ile iletişime geçiniz.,2025-03-07T15:22:00.000Z,2025-04-24T15:22:00.000Z,2025-03-16T15:22:00.000Z,2025-09-04T15:22:00.000Z,1600000,TL,1600000,1,false,6392,Örnek Emlak 2,Danışmanlığı,sample/profile_00001.jpg,2090,https://example.com/sample-logo/00001.png,Mehmet Kaya,0.0,False,false,44285.0,101607.0,,False,,Elektrik,Yok,101305.0,0.0,,Bilinmiyor,
SAMPLE-000003,148210,10000002,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,42,Konya,1522,İlçe_1522,Bölge_494,"328,242,854",63320,Mahalle_63320,SATILIK DÜKKAN & MAĞAZA,10.0,Stüdyo,60.0,10. Kat,101211.0,0,0,0,8.0,"38.4665,44.1935",https://example.com/sample-listing/000003,https://example.com/sample-location/00002,https://example.com/sample-location/00002,https://example.com/sample-image/000003.jpg,https://example.com/sample-image/000003.jpg,23,Detaylar için ilan sahibi ile iletişime geçiniz.,2025-09-24T23:01:00.000Z,2025-10-15T23:01:00.000Z,2025-10-02T23:01:00.000Z,2026-02-07T23:01:00.000Z,980000,TL,980000,1,true,5046,Örnek Emlak 3,Property,sample/profile_00002.jpg,2823,https://example.com/sample-logo/00002.png,Ayşe Demir,0.0,False,false,124508.0,101604.0,Sıfır,False,,Diğer,Kombi,101309.0,0.0,,Uygun,
SAMPLE-000004,46551,10000003,Emlakçıdan,İşyeri,İşyeri Satılık,Depo & Antrepo,1000020000,1000010000,34,İstanbul,1343,İlçe_1343,Bölge_188,"204,792,858",87050,Mahalle_87050,SATILIK DEPO & ANTREPO,,Stüdyo,127.0,3. Kat,101204.0,0,0,0,,"38.5723,44.6171",https://example.com/sample-listing/000004,https://example.com/sample-location/00003,https://example.com/sample-location/00003,https://example.com/sample-image/000004.jpg,https://example.com/sample-image/000004.jpg,6,Merkezi konumda satılık ticari gayrimenkul.,2024-04-06T15:55:00.000Z,2024-05-08T15:55:00.000Z,2024-04-15T15:55:00.000Z,2024-07-23T15:55:00.000Z,19390000,TL,19390000,1,false,5240,Örnek Emlak 4,Gayrimenkul,sample/profile_00003.jpg,2981,,Fatma Şahin,0.0,False,false,156688.0,,İkinci El,False,,Elektrik,Yok,101313.0,0.0,,Uygun,
SAMPLE-000005,148738,10000004,Emlakçıdan,İşyeri,İşyeri Satılık,Cafe & Bar,1000020000,1000010000,26,Eskişehir,1653,İlçe_1653,Bölge_406,"658,189,704",15246,Mahalle_15246,SATILIK CAFE & BAR,,3+1,135.0,,101207.0,0,1,3,4.0,"40.4128,32.1951",https://example.com/sample-listing/000005,https://example.com/sample-location/00004,https://example.com/sample-location/00004,https://example.com/sample-image/000005.jpg,https://example.com/sample-image/000005.jpg,22,Ulaşımı kolay ve merkezi konumda.,2025-04-08T19:04:00.000Z,2025-04-23T19:04:00.000Z,2025-04-14T19:04:00.000Z,2025-08-06T19:04:00.000Z,5120000,TL,5120000,1,false,6035,Örnek Emlak 5,Danışmanlığı,sample/profile_00004.jpg,,https://example.com/sample-logo/00004.png,Zeynep Çelik,0.0,False,false,42637.0,,,False,,Yok,Klima,,0.0,,Uygun,
SAMPLE-000006,9925,10000005,Emlakçıdan,İşyeri,İşyeri Satılık,İş Hanı,1000020000,1000010000,63,Şanlıurfa,2007,İlçe_2007,Bölge_1009,"532,132,130",155187,Mahalle_155187,SATILIK İŞ HANI,0.0,5+1,107.0,Zemin,101200.0,0,1,5,7.0,"40.6507,27.3034",https://example.com/sample-listing/000006,https://example.com/sample-location/00005,https://example.com/sample-location/00005,https://example.com/sample-image/000006.jpg,https://example.com/sample-image/000006.jpg,10,Merkezi konumda satılık ticari gayrimenkul.,2024-12-01T04:40:00.000Z,2024-12-06T04:40:00.000Z,2024-12-02T04:40:00.000Z,2025-03-06T04:40:00.000Z,2980000,TL,2980000,1,false,3718,Örnek Emlak 6,Danışmanlığı,sample/profile_00005.jpg,4077,,Emre Arslan,0.0,False,false,132195.0,101607.0,İkinci El,False,,,Soba,101303.0,0.0,,Uygun,
SAMPLE-000007,50661,10000006,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,21,Diyarbakır,1624,İlçe_1624,Bölge_444,"195,323,338",116826,Mahalle_116826,SATILIK DÜKKAN & MAĞAZA,,3+1,54.0,7. Kat,,0,0,3,,"40.7645,35.4997",https://example.com/sample-listing/000007,https://example.com/sample-location/00006,https://example.com/sample-location/00006,https://example.com/sample-image/000007.jpg,https://example.com/sample-image/000007.jpg,8,Ulaşımı kolay ve merkezi konumda.,2024-11-07T08:52:00.000Z,2024-12-20T08:52:00.000Z,2024-11-14T08:52:00.000Z,2025-04-04T08:52:00.000Z,1540000,TL,1540000,1,false,6501,Örnek Emlak 7,Property,sample/profile_00006.jpg,3837,https://example.com/sample-logo/00006.png,Burak Aydın,0.0,False,false,56004.0,101604.0,İkinci El,False,,,Soba,,0.0,TL,Bilinmiyor,
SAMPLE-000008,15385,10000007,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,81,Düzce,1815,İlçe_1815,Bölge_276,"617,716,127",106408,Mahalle_106408,SATILIK DÜKKAN & MAĞAZA,1.0,Stüdyo,92.0,6. Kat,101207.0,0,0,0,,"39.1399,36.1603",https://example.com/sample-listing/000008,https://example.com/sample-location/00007,https://example.com/sample-location/00007,https://example.com/sample-image/000008.jpg,https://example.com/sample-image/000008.jpg,12,Yatırıma uygun işyeri.,2025-02-17T03:17:00.000Z,2025-03-22T03:17:00.000Z,2025-02-24T03:17:00.000Z,2025-05-23T03:17:00.000Z,3620000,TL,3620000,1,false,6285,Örnek Emlak 8,Gayrimenkul,sample/profile_00007.jpg,4355,https://example.com/sample-logo/00007.png,Elif Öztürk,0.0,False,false,83430.0,,Sıfır,False,,Elektrik,,101314.0,0.0,,Değerlendiriliyor,
SAMPLE-000009,32403,10000008,Emlakçıdan,İşyeri,İşyeri Satılık,Dükkan & Mağaza,1000020000,1000010000,55,Samsun,1299,İlçe_1299,Bölge_830,"674,303,833",32824,Mahalle_32824,SATILIK DÜKKAN & MAĞAZA,25.0,1+1,87.0,4. Kat,101205.0,0,0,1,6.0,"38.9395,40.1377",https://example.com/sample-listing/000009,https://example.com/sample-location/00008,https://example.com/sample-location/00008,https://example.com/sample-image/000009.jpg,https://example.com/sample-image/000009.jpg,17,Detaylar için ilan sahibi ile iletişime geçiniz.,2024-10-27T00:39:00.000Z,2024-10-31T00:39:00.000Z,2024-10-28T00:39:00.000Z,2025-01-05T00:39:00.000Z,5610000,TL,5610000,1,true,4907,Örnek Emlak 9,Gayrimenkul,,4422,https://example.com/sample-logo/00008.png,Mert Koç,0.0,False,false,167521.0,,İkinci El,False,,Diğer,Yerden Isıtma,101301.0,0.0,,Uygun,
SAMPLE-000010,127177,10000009,Emlakçıdan,İşyeri,İşyeri Satılık,Plaza,1000020000,1000010000,71,Kırıkkale,2108,İlçe_2108,Bölge_662,"765,818,658",138056,Mahalle_138056,SATILIK PLAZA,,2+0,39.0,,101207.0,0,0,2,2.0,"40.2483,33.4653",https://example.com/sample-listing/000010,https://example.com/sample-location/00009,https://example.com/sample-location/00009,https://example.com/sample-image/000010.jpg,https://example.com/sample-image/000010.jpg,1,Detaylı bilgi için iletişime geçebilirsiniz.,2024-06-17T06:15:00.000Z,2024-06-27T06:15:00.000Z,2024-06-24T06:15:00.000Z,2024-11-30T06:15:00.000Z,1400000,TL,1400000,1,false,6096,Örnek Emlak 10,Property,sample/profile_00009.jpg,3910,,Ece Kurt,0.0,False,false,158653.0,101607.0,İkinci El,False,,Doğalgaz,Yok,101312.0,0.0,TL,Bilinmiyor,
